marque;modele;vertion;prix;nombre de place;nombre de porte;boite vitesse;CARROSSERIE;CYLINDRÉE;ENERGIE;TRANSMISSION;PUISSANCE FISCALE
Mercedes-Benz;ClasseC;180AMG;253000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;ClasseC;180Premium;249000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;ClasseC;180Avantgarde;215000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;GLA;200AMG;216000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;9CV
Mercedes-Benz;GLA;200Progressive;198000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;9CV
Mercedes-Benz;CLA;200AMG;213000DT;5;4;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;CLA;200Progressive;201000DT;5;4;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200AMG;190000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200Premium;177000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200Progressive;165000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200AMG;189000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200Premium;175000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200Progressive;164000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mahindra;Pick-upDC;2.2lDiesel4x2;77945DT;5;4;Manuelle;Pickup;2179CM³;Diesel;Propulsion;7CV
Mahindra;Pick-upSC;2.2lDiesel4x2PlateauSimple;60916DT;2;2;Manuelle;Pickup;2179CM³;Diesel;Propulsion;7CV
Mahindra;XUV300;1.2LW8.0;69065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;XUV300;1.2LW8;63065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;XUV300;1.2LW6;58065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;KUV100;1.2lK8;43960DT;5;5;Manuelle;SUV;1198CM³;Traction;Traction;5CV
LandRover;RangeRover;4.4V8P530HSE;1054000DT;5;5;Automatique;SUV;4395CM³;Essence;Intégrale;43CV
LandRover;RangeRover;3.0LP460PHEVSE;723000DT;5;5;Automatique;SUV;2997CM³;Essence|Hybriderechargeable;Intégrale;16CV
LandRover;RangeRover;3.0LP400MHEVSE;702500DT;5;5;Automatique;SUV;2997CM³;Essence|Hybrideléger;Intégrale;24CV
LandRover;RangeRoverSport;3.0LP460PHEVSE;647000DT;5;5;Automatique;SUV;2997CM³;Essence|Hybriderechargeable;Intégrale;25CV
LandRover;RangeRoverSport;3.0LP400MHEVSE;607200DT;5;5;Automatique;SUV;2996CM³;Essence|Hybrideléger;Intégrale;29CV
LandRover;RangeRoverVelar;2.0lP250S;396500DT;5;5;Automatique;SUV;1998CM³;Essence;Intégrale;15CV
LandRover;Defender110;2.0LP300SE;413000DT;5;5;Automatique;SUV;1997CM³;Essence;Intégrale;21CV
LandRover;Defender110;3.0LP400S;364200DT;5;5;Automatique;SUV;2996CM³;Essence|Hybrideléger;Intégrale;29CV
LandRover;Defender90;2.0LP300X-DYNAMIXSE;398000DT;5;3;Automatique;SUV;1997CM³;Essence;Intégrale;21CV
LandRover;RangeRoverEvoque;2.0lP200DynamicSE;341700DT;5;5;Automatique;SUV;1997CM³;Essence;Intégrale;12CV
LandRover;RangeRoverEvoque;2.0lD163DynamicSE;340000DT;5;5;Automatique;SUV;1999CM³;Diesel;Intégrale;9CV
KIA;K2500;SimpleCabine;66990DT;3;2;Manuelle;Pickup;2497CM³;Diesel;Propulsion;8CV
KIA;Sorento;3.5V67PlacesBVA;279980DT;7;5;Automatique;SUV;3470CM³;Essence;Intégrale;19CV
KIA;Sorento;2.2LDiesel7placesBVA;274980DT;7;5;Automatique;SUV;2151CM³;Diesel;Intégrale;12CV
KIA;EV6;DualPower4WDGT-Line;239980DT;5;5;Automatique;SUV;2151CM³;Electrique;Intégrale;21CV
KIA;EV6;LongRangeGT-Line;219980DT;5;5;Automatique;SUV;2151CM³;Electrique;Propulsion;13CV
KIA;EV6;StandardRangeGT-Line;199980DT;5;5;Automatique;SUV;1580CM³;Electrique;Propulsion;9CV
KIA;NiroHybride;1.6LSX;149980DT;5;5;Automatique;SUV;1580CM³;Essence|Hybride;Traction;5CV
KIA;NiroHybride;1.6LEX;139980DT;5;5;Automatique;SUV;1580CM³;Essence|Hybride;Traction;5CV
KIA;XCeed;1.5T-GDI7DCTGT-Line;134980DT;5;5;Automatique;SUV;1482CM³;Essence;Traction;9CV
KIA;XCeed;1.5T-GDI7DCTSX;124980DT;5;5;Automatique;SUV;1482CM³;Essence;Traction;9CV
KIA;XCeed;1.5T-GDI7DCTEX;118480DT;5;5;Automatique;SUV;1482CM³;Essence;Traction;9CV
KIA;Seltos;1.4T-GDI;116980DT;5;5;Automatique;SUV;1353CM³;Essence;Traction;8CV
KIA;Stonic;1.0LT-GDiGT-LineBVA;92980DT;5;5;Automatique;SUV;998CM³;Essence|Hybrideléger;Traction;6CV
KIA;Stonic;1.0LT-GDiGT-LineBVM;84980DT;5;5;Manuelle;SUV;998CM³;Essence|Hybrideléger;Traction;6CV
KIA;Stonic;1.2LSXBVM;77980DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;5CV
KIA;Stonic;1.2LEXBVM;72980DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;5CV
KIA;Picanto;1.2LGT-LineBVA;57480DT;5;5;Automatique;Citadine;1197CM³;Essence;Traction;4CV
KIA;Picanto;1.2LLXBVA;52480DT;5;5;Automatique;Citadine;1197CM³;Essence;Traction;4CV
KIA;Picanto;1.2LSmart;49980DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
KIA;Picanto;1.2LLX;47980DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
KIA;PicantoPopulaire;1.0L;30935DT;5;5;Manuelle;Citadine;998CM³;Essence;Traction;4CV
Jeep;WranglerUnlimited;3.6LV6Rubicon;405000DT;5;5;Automatique;SUV;3604CM³;Essence;Intégrale;19CV
Jeep;WranglerUnlimited;2.0LRubicon;375000DT;5;5;Automatique;SUV;2000CM³;Essence;Intégrale;18CV
Jeep;Wrangler;2.0LRubicon;327000DT;5;3;Automatique;SUV;2000CM³;Essence;Intégrale;18CV
Jeep;Compass;1.3T4X2SMODELBVA;168000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;8CV
Jeep;Renegade;1.4Turbo4x2LimitedBVA;121500DT;5;5;Automatique;SUV;1368CM³;Essence;Traction;8CV
Jaguar;F-Pace;2.0T250R-DynamicS;399000DT;5;5;Automatique;SUV;1997CM³;Essence;Intégrale;16CV
Jaguar;E-Pace;2.0D163R-DynamicS;350000DT;5;5;Automatique;SUV;1998CM³;Diesel;Intégrale;12CV
Hyundai;Staria9places;2.2CRDI4WDLuxeBVA;280000DT;9;5;Automatique;Monospace;2199CM³;Diesel;Intégrale;11CV
Hyundai;Staria9places;2.2CRDI4WDBVA;210100DT;9;5;Automatique;Monospace;2199CM³;Diesel;Intégrale;11CV
Hyundai;Staria9places;2.2CRDI;190000DT;9;5;Manuelle;Monospace;2199CM³;Diesel;Traction;11CV
Hyundai;Staria11places;2.2CRDI;159600DT;11;5;Manuelle;Monospace;2199CM³;Diesel;Traction;8CV
Hyundai;PalisadeCalligraphy;3.5LGDI4x4BVA;350100DT;8;5;Automatique;SUV;3470CM³;Essence;Intégrale;19CV
Hyundai;PalisadeCalligraphy;2.2LTCi4x4BVA;350000DT;7;5;Automatique;SUV;2199CM³;Diesel;Intégrale;12CV
Hyundai;Palisade;2.2LCRDI4x4BVA;309950DT;7;5;Automatique;SUV;2199CM³;Diesel;Intégrale;12CV
Hyundai;SantaFe;2.2LCRDIHighGrade;280000DT;7;5;Automatique;SUV;2199CM³;Diesel;Intégrale;12CV
Hyundai;Ioniq5;77kWh4WDHG;210950DT;5;5;Automatique;SUV;1580CM³;Electrique;Intégrale;21CV
Hyundai;Ioniq5;58kWh2WDHG;168950DT;5;5;Automatique;SUV;1580CM³;Electrique;Propulsion;9CV
Hyundai;TucsonHybride;1.6lT-GDI2WDTopGradeBVA6;170000DT;5;5;Automatique;SUV;1598CM³;Essence|Hybride;Traction;9CV
Hyundai;Tucson;1.6lT-GDI7-DCT4WDTopGrade;180000DT;5;5;Automatique;SUV;1598CM³;Essence;Intégrale;10CV
Hyundai;Kona;1.6lT-GDI7-DCT4WDNLine;150000DT;5;5;Automatique;SUV;1598CM³;Essence;Intégrale;11CV
Hyundai;Kona;1.6lT-GDI7-DCT4WD;137000DT;5;5;Automatique;SUV;1598CM³;Essence;Intégrale;11CV
Hyundai;KonaElectric;39kWh;123950DT;5;5;AutomatiqueTraction;SUV;1580CM³;Electrique;Traction;11CV
Hyundai;KonaHybride;1.6lGDIHybrideBVA;130000DT;5;5;Automatique;SUV;1580CM³;Essence|Hybride;Traction;5CV
Hyundaii;30Fastback;1.0LT-GDIDCT-7;100000DT;5;4;Automatique;Berline;998CM³;Essence;Traction;7CV
Hyundaii;30;1.0LT-GDIDCT-7;100000DT;5;5;Automatique;Compacte;998CM³;Essence;Traction;7CV
Hyundai;Accent;1.4L;85000DT;5;4;Manuelle;Berline;1396CM³;Essence;Traction;6CV
Hyundai;Venue;1.0LTurboBVA;90000DT;5;5;Automatique;SUV;998CM³;Essence;Traction;7CV
Hyundai;Bayon;1.0LT-GDITopGradeBVA;90000DT;5;5;Automatique;SUV;998CM³;Essence;Traction;5CV
Hyundai;Bayon;1.2LTopGrade;78950DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;5CV
Hyundai;i20;1.0LT-GDIDCT-7HighGradeNLine;87950DT;5;5;Automatique;Citadine;998CM³;Essence;Traction;5CV
Hyundai;i20;1.0LT-GDIDCT-7HighGrade;77950DT;5;5;Automatique;Citadine;998CM³;Essence;Traction;5CV
Hyundai;i20;1.2LHighGrade;68950DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Hyundai;i20;1.2LGLS;63950DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Hyundai;Grandi10Sedan;1.2L;55000DT;5;4;Manuelle;Berline;1197CM³;Essence;Traction;5CV
Hyundai;Grandi10;1.2LHighGradeBVA;58600DT;5;5;Automatique;Citadine;1197CM³;Essence;Traction;5CV
Hyundai;Grandi10;1.2LHighGrade;54600DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Hyundai;Grandi10;1.2LGLS;50000DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Hyundai;Grandi10Populaire;1.0L;33809DT;5;5;Manuelle;Citadine;998CM³;Essence;Traction;4CV
Huanghai;N3;2.5LTurboDiesel4x4;114000DT;5;4;Manuelle;Pickup;2499CM³;Diesel;Intégrale;8CV
Honda;CivicHybride;2.0le-HEV;186990DT;5;4;Automatique;Berline;1993CM³;Essence|Hybride;Traction;7CV
Honda;Civic;1.5lCVT;159990DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;10CV
Honda;HR-V;1.5LCVTEX;127990DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;7CV
Honda;City;1.5LCVTLXSport+;82990DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;6CV
Honda;City;1.5LCVTLXSport;81490DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;6CV
Honda;City;1.5LCVTLX;78990DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;6CV
Honda;Jazz;1.5Le-HEV;85990DT;5;5;Automatique;Citadine;1498CM³;Essence|Hybride;Traction;5CV
Haval;H6;1.5T7-DCT;129875DT;5;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
Haval;Jolion;1.5T;100980DT;5;5;Automatique;SUV;1479CM³;Essence;Traction;9CV
GreatWall;Poer;2.0LDiesel4x4BVA;136570DT;5;5;Automatique;Pickup;1996CM³;Diesel;Intégrale;7CV
GreatWall;Poer;2.0LDiesel4x4;111990DT;5;5;Manuelle;Pickup;1996CM³;Diesel;Intégrale;11CV
GreatWall;Wingle5DoubleCabine;2.0LDiesel4x2;82975DT;5;4;Manuelle;Pickup;1996CM³;Diesel;Propulsion;7CV
Geely;Azkarra;1.5LTurboHybrid4WD;129800DT;5;5;Automatique;SUV;1477CM³;Essence|Hybrideléger;Intégrale;9CV
Geely;Coolray;1.5LTurboGF;98800DT;5;5;Automatique;SUV;1477CM³;Essence;Traction;10CV
Geely;Coolray;1.5LTurboGS;88800DT;5;5;Automatique;SUV;1477CM³;Essence;Traction;10CV
Geely;GX3Pro;1.5LCVT;68800DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;6CV
GAC;GS3;1.3LBVA;79970DT;5;5;Automatique;SUV;1325CM³;Essence;Traction;7CV
GAC;GA4;1.5LBVA;67065DT;5;4;Automatique;Berline;1495CM³;Essence;Traction;6CV
Ford;TransitMinibus;Restylé2.2lD15Places;141000DT;15;4;Manuelle;Utilitaire;2198CM³;Diesel;Propulsion;6CV
Ford;TransitVan;2.2lD350LL3H2;98000DT;3;5;Manuelle;Utilitaire;2198CM³;Diesel;Traction;7CV
Ford;TransitVan;2.2lD330ML2H2;95500DT;3;5;Manuelle;Utilitaire;2198CM³;Diesel;Traction;7CV
Ford;TransitCustom;2.2LDiesel;87900DT;3;4;Manuelle;Utilitaire;2198CM³;Diesel;Traction;7CV
Ford;RangerRaptor;2.0LTDCI210ch4x4BVA;320000DT;5;4;Automatique;Pickup;1996CM³;Diesel;Intégrale;5CV
Ford;Ranger;2.0LTDCI210ch4x4WildtrakBVA;220000DT;5;4;Automatique;Pickup;1996CM³;Diesel;Intégrale;5CV
Ford;Ranger;2.0L170ch4x4XLTBVA;165000DT;5;4;Automatique;Pickup;1996CM³;Diesel;Intégrale;7CV
Ford;Everest;2.0LBi-TurboLimited7places;285000DT;7;5;Automatique;SUV;1996CM³;Diesel;Intégrale;13CV
Ford;Everest;2.0LBi-TurboXLT7places;257000DT;7;5;Automatique;SUV;1996CM³;Diesel;Intégrale;13CV
Ford;Kuga;1.5LEcoboostTitaniumBVA;145990DT;5;5;Automatique;SUV;1496CM³;Essence;Traction;10CV
Ford;Kuga;1.5LEcoboostTrendPlusBVA;116900DT;5;5;Automatique;SUV;1496CM³;Essence;Traction;8CV
Fiat;Ducato;2.2HDI13m3L2H2;94400DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Fiat;Ducato;2.2HDI11.5m3L1H2;92400DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Fiat;Ducato;2.2HDI8m3L1H1;90400DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Fiat;Fiorino;1.3LMultijet;49200DT;2;4;Manuelle;Utilitaire;1248CM³;Diesel;Traction;5CV
Fiat;DobloCombi;1.2LDieselMaxi;90000DT;5;5;Manuelle;Monospace;1248CM³;Diesel;Traction;5CV
Fiat;DobloCombi;1.4L;80000DT;5;5;Manuelle;Monospace;1368CM³;Essence;Traction;6CV
Fiat;500XCross;1.4lMultiairBicoloreBVA;112000DT;5;5;Automatique;SUV;1368CM³;Essence;Traction;7CV
Fiat;500XCross;1.4lMultiairBVA;111000DT;5;5;Automatique;SUV;1368CM³;Essence;Traction;7CV
Fiat;TipoBerline;1.3LDieselEntry;83000DT;5;4;Manuelle;Berline;1248CM³;Diesel;Traction;5CV
Fiat;TipoBerline;1.4LEntryPlus;76000DT;5;4;Manuelle;Berline;1368CM³;Essence;Traction;5CV
Fiat;500;1.2LDolcevitaBVA;67500DT;4;3;Automatique;Citadine;1242CM³;Essence;Traction;4CV
Faw;BesturnX40;1.6L;84900DT;5;5;Automatique;SUV;1598CM³;Essence;Traction;6CV
Dongfeng;T5EVO;1.5LTurbo;118900DT;5;5;Automatique;SUV;1500CM³;Essence;Traction;9CV
Dongfeng;Rich6;2.5TurboDiesel4X4ToutesOptions;108500DT;5;4;Manuelle;Pickup;2498CM³;Diesel;Intégrale;8CV
Dongfeng;Rich6;2.5TurboDiesel4X4;104900DT;5;4;Manuelle;Pickup;2498CM³;Diesel;Intégrale;8CV
Dongfeng;Rich6;2.5TurboDiesel4X2;93900DT;5;4;Manuelle;Pickup;2498CM³;Diesel;Propulsion;8CV
Dongfeng;AX4;1.6LDCT;79900DT;5;5;Automatique;SUV;1556CM³;Essence;Traction;7CV
Dongfeng;AX4;1.6L;71900DT;5;5;Manuelle;SUV;1556CM³;Essence;Traction;7CV
DFSK;K02S;1.0lDoubleCabineDLX;41900DT;4;4;Manuelle;Pickup;1000CM³;Essence;Propulsion;5CV
DFSK;K02S;1.0lDoubleCabineSTD;39900DT;4;4;Manuelle;Pickup;1000CM³;Essence;Propulsion;5CV
DFSK;K01H;LargeCabine1.1lDLX;37900DT;2;2;Manuelle;Pickup;1050CM³;Essence;Propulsion;6CV
DFSK;K01H;LargeCabine1.1lSTD;35900DT;2;2;Manuelle;Pickup;1050CM³;Essence;Propulsion;6CV
DFSK;K01S;SimpleCabineDLX;31900DT;2;2;Manuelle;Pickup;1000CM³;Essence;Propulsion;5CV
DFSK;K01S;SimpleCabineSTD;29900DT;2;2;Manuelle;Pickup;1000CM³;Essence;Propulsion;5CV
DFSK;Glory580;1.5TLuxuryCVT;99900DT;7;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
DFSK;Glory500;1.5CVT;83900DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;7CV
Dacia;Duster;1.5LdCi4x2ConfortBVA;99990DT;5;5;Automatique;SUV;1461CM³;Diesel;Traction;6CV
Dacia;Duster;1.5LdCi4x4Confort;98950DT;5;5;Manuelle;SUV;1461CM³;Diesel;Intégrale;6CV
Dacia;Duster;1.5LdCi4x2Confort;88700DT;5;5;Manuelle;SUV;1461CM³;Diesel;Traction;5CV
Dacia;SanderoStepway;1.0LBVA;72990DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Dacia;SanderoStepway;1.0L;62990DT;5;5;Manuelle;SUV;999CM³;Essence;Traction;6CV
Dacia;Logan;1.0LTCEÉcrantactile;62500DT;5;4;Manuelle;Berline;999CM³;Essence;Traction;5CV
Dacia;Logan;1.0LTCE;61500DT;5;4;Manuelle;Berline;999CM³;Essence;Traction;5CV
Dacia;Sandero;1.0LTCE;57450DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;5CV
Cupra;Formentor;2.0LTSI7ExclusiveDSG;190980DT;5;5;Automatique;SUV;1998CM³;Essence;Traction;11CV
Cupra;Leon;1.4TSISport;141980DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Cupra;Leon;1.4TSI;131980DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Chevrolet;Equinox;1.5TurboAWDBVA;148968DT;5;5;Automatique;SUV;1451CM³;Essence;Intégrale;10CV
Chevrolet;Captiva;1.5TurboCVT7places;106796DT;7;5;Automatique;SUV;1451CM³;Essence;Traction;9CV
Chevrolet;Captiva;1.5TurboCVT5places;98520DT;5;5;Automatique;SUV;1451CM³;Essence;Traction;9CV
Chevrolet;Groove;1.5LPremier;89825DT;5;5;Automatique;SUV;1485CM³;Essence;Traction;6CV
Chevrolet;Sonic;1.4LBVA;54778DT;5;5;Automatique;Citadine;1398CM³;Essence;Traction;6CV
Chery;Tiggo8Pro;1.6T-GDI7-DCT;129590DT;7;5;Automatique;SUV;1598CM³;Essence;Traction;11CV
Chery;Tiggo8;1.5TDCTLuxury;109880DT;7;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Chery;Tiggo7Pro;1.5TCVT;99580DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Chery;Tiggo3X;1.0LTurboCVTLuxury;65565DT;5;5;Automatique;SUV;998CM³;Essence;Traction;6CV
Chery;Tiggo1Xpopulaire;1.0LTurbo;34068DT;5;5;Manuelle;SUV;998CM³;Essence;Traction;4CV
Changan;Hunter;1.9LTurboDiesel4x4;122980DT;5;4;Manuelle;Pickup;1910CM³;Diesel;Intégrale;6CV
Changan;NewStarVan;1.2L;41500DT;2;4;Manuelle;Utilitaire;1243CM³;Essence;Propulsion;7CV
Changan;StarTruckDoubleCabine;1.2L;53000DT;5;4;Manuelle;Pickup;1243CM³;Essence;Propulsion;7CV
BYD;Tang;2.0LSupremeBVA;143900DT;7;5;Automatique;SUV;1999CM³;Essence;Traction;11CV
BMW;Série7;740iLaunchEdition;782900DT;5;4;Automatique;Berline;2998CM³;Essence|Hybrideléger;Propulsion;26CV
BMW;X5Hybride;45eX-DrivePackM;496400DT;5;5;Automatique;SUV;2998CM³;Essence|Hybriderechargeable;Intégrale;15CV
BMW;X3Hybride;30exDrivePackM;402200DT;5;5;Automatique;SUV;1995CM³;Essence|Hybriderechargeable;Intégrale;11CV
BMW;X3Hybride;30exDriveBusinessLine;355000DT;5;5;Automatique;SUV;1995CM³;Essence|Hybriderechargeable;Intégrale;11CV
BMW;X2;18iPackMSportX;203900DT;5;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
BMW;X2;18iBusinessLine;181900DT;5;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
BMW;X1Hybride;xDrive25ePackM;241900DT;5;5;Automatique;SUV;1499CM³;Essence|Hybriderechargeable;Intégrale;8CV
BMW;X1Hybride;xDrive25exLine;236900DT;5;5;Automatique;SUV;1499CM³;Essence|Hybriderechargeable;Intégrale;8CV
BMW;i4;eDrive40PackM;276900DT;5;5;Automatique;Berline;1499CM³;Electrique;Propulsion;22CV
BMW;i4;eDrive40BusinessLine;237900DT;5;5;Automatique;Berline;1499CM³;Electrique;Propulsion;22CV
Bestune;T77Pro;1.5lLuxuryBVA;113777DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Audi;E-tronGTQuattro;Quattro;390000DT;5;4;AutomatiqueIntégrale;Berline;1499CM³;Electrique;Traction;37CV
Audi;Q855TFSITiptronic;55TFSITiptronicQuattro;510000DT;5;5;Automatique;SUV;2995CM³;Essence|Hybrideléger;Intégrale;23CV
Audi;Q7;45TFSIQuattroS-Line7placesBVA;430000DT;7;5;Automatique;SUV;1984CM³;Essence;Intégrale;16CV
Audi;Q5Sportback;45TFSIQuattroS-Line;350000DT;5;5;Automatique;SUV;1984CM³;Essence;Intégrale;16CV
Audi;Q3Sportback;35TFSIBlackSeriesS-tronic;235000DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Audi;Q3Sportback;35TFSIBusinessLineS-tronic;206000DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Audi;Q3;35TFSITechAdvancedS-tronic;207000DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Audi;Q2;35TFSIS-LineBVA;166000DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;8CV
Audi;A6;40TFSIS-Line;295000DT;5;4;Automatique;Berline;1984CM³;Essence|Hybrideléger;Traction;11CV
Audi;A5Sportback;35TFSIHighTechPlusS-tronic;240000DT;5;5;Automatique;Berline;1984CM³;Essence;Traction;8CV
Audi;A5Sportback;35TFSIS-LineSelectionS-tronic;230000DT;5;5;Automatique;Berline;1984CM³;Essence;Traction;8CV
Audi;A4;35TFSIBusinessLinePlusS-tronic;198000DT;5;4;Automatique;Berline;1984CM³;Essence;Traction;8CV
Audi;A3Sportback;35TFSIS-Line;169000DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Audi;A3Sportback;35TFSIMidnightSeriesLtd;164000DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Audi;A3Sportback;35TFSIAdvancedLine;154000DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Audi;A3Berline;35TFSIBusinessExtended;156000DT;5;4;Automatique;Berline;1395CM³;Essence;Traction;8CV
Audi;A1Sportback;30TFSIS-LineBVA;125000DT;5;5;Automatique;Citadine;999CM³;Essence;Traction;6CV
Audi;A1Sportback;30TFSICityLineBVA;113000DT;5;5;Automatique;Citadine;999CM³;Essence;Traction;6CV
AlfaRomeo;Stelvio;2.0TurboBVAQ4;265000DT;5;5;Automatique;SUV;1995CM³;Essence;Intégrale;17CV
AlfaRomeo;Stelvio;2.0TurboSuperBVA;198000DT;5;4;Automatique;Berline;1995CM³;Essence;Propulsion;11CV
